accuracy,precision,recall,f1,roc_auc,average_precision,chunk,fold
0.81,0.5,0.2631578947368421,0.3448275862068966,0.7053281351526965,0.43192590247691753,38,0
0.845,0.6666666666666666,0.3684210526315789,0.4745762711864407,0.8096166341780376,0.5455949419319851,38,1
0.84,0.6666666666666666,0.3157894736842105,0.42857142857142855,0.7443957115009746,0.465987360795875,38,2
0.81,0.48,0.32432432432432434,0.3870967741935484,0.7457303929696567,0.4492916837547798,38,3
0.8,0.4,0.16216216216216217,0.23076923076923078,0.6723594760404576,0.30581148334145647,38,4
0.695,0.36666666666666664,0.20754716981132076,0.26506024096385544,0.6671800795790014,0.36565624253379514,39,0
0.685,0.35294117647058826,0.22641509433962265,0.27586206896551724,0.6331664741368245,0.390903711902646,39,1
0.66,0.3055555555555556,0.2037037037037037,0.24444444444444444,0.6189117199391172,0.3851134945314413,39,2
0.7,0.4117647058823529,0.25925925925925924,0.3181818181818182,0.672945205479452,0.4250640116389347,39,3
0.65,0.3,0.2222222222222222,0.2553191489361702,0.6113013698630138,0.35358213907786995,39,4
0.855,0.5384615384615384,0.45161290322580644,0.49122807017543857,0.8322198892918496,0.5340736109242488,40,0
0.845,0.5185185185185185,0.4375,0.4745762711864407,0.8517485119047619,0.5920995484328245,40,1
0.84,0.5,0.375,0.42857142857142855,0.8147321428571429,0.5392701812626589,40,2
0.86,0.5833333333333334,0.4375,0.5,0.8753720238095238,0.48789532710739897,40,3
0.81,0.38461538461538464,0.3125,0.3448275862068966,0.8032924107142858,0.39697620720419063,40,4
0.75,0.5238095238095238,0.4230769230769231,0.46808510638297873,0.7414241164241164,0.534161531627329,41,0
0.71,0.39285714285714285,0.21153846153846154,0.275,0.6492333679833681,0.4382789350948607,41,1
0.7,0.3888888888888889,0.2692307692307692,0.3181818181818182,0.6781444906444906,0.43323824148403967,41,2
0.73,0.475,0.36538461538461536,0.41304347826086957,0.7383056133056133,0.4932868850539373,41,3
0.76,0.5526315789473685,0.40384615384615385,0.4666666666666667,0.768970893970894,0.5674906194439623,41,4
0.805,0.3333333333333333,0.11428571428571428,0.1702127659574468,0.7141125541125541,0.3021192543230917,42,0
0.835,0.5555555555555556,0.4166666666666667,0.47619047619047616,0.815040650406504,0.516558187154162,42,1
0.775,0.3448275862068966,0.2777777777777778,0.3076923076923077,0.7532181571815718,0.35994975578290583,42,2
0.79,0.35,0.19444444444444445,0.25,0.7608401084010841,0.40151082716846953,42,3
0.79,0.375,0.25,0.3,0.7116361788617886,0.31546713577545915,42,4
0.725,0.5609756097560976,0.38333333333333336,0.45544554455445546,0.7870833333333334,0.5663090694570351,43,0
0.65,0.4,0.3333333333333333,0.36363636363636365,0.6881547619047619,0.4639818798293953,43,1
0.635,0.37254901960784315,0.31666666666666665,0.34234234234234234,0.6750595238095238,0.463568079372557,43,2
0.715,0.5454545454545454,0.3,0.3870967741935484,0.7831547619047619,0.5605368145546331,43,3
0.745,0.5909090909090909,0.4406779661016949,0.5048543689320388,0.7646351724966943,0.5909713425551224,43,4
0.835,0.375,0.20689655172413793,0.26666666666666666,0.6870336761443839,0.2827216751016569,44,0
0.815,0.21428571428571427,0.10344827586206896,0.13953488372093023,0.7467231296632386,0.29313041028473696,44,1
0.795,0.125,0.06896551724137931,0.08888888888888889,0.7531760435571687,0.30929148965078745,44,2
0.81,0.2631578947368421,0.1724137931034483,0.20833333333333334,0.7133494656180682,0.2643905074163049,44,3
0.83,0.3333333333333333,0.1724137931034483,0.22727272727272727,0.7291792700141158,0.2869906683831067,44,4
0.805,0.5714285714285714,0.2857142857142857,0.38095238095238093,0.7168474984930681,0.43443084135049576,45,0
0.805,0.6,0.21428571428571427,0.3157894736842105,0.767706449668475,0.4558896148023112,45,1
0.745,0.2857142857142857,0.14285714285714285,0.19047619047619047,0.6690777576853526,0.33701033621043963,45,2
0.775,0.4482758620689655,0.30952380952380953,0.36619718309859156,0.7129294755877035,0.4622569874157435,45,3
0.775,0.4117647058823529,0.16666666666666666,0.23728813559322035,0.7052441229656419,0.40854491037233676,45,4
0.715,0.2631578947368421,0.10416666666666667,0.14925373134328357,0.6535087719298246,0.3244500911047724,46,0
0.755,0.4666666666666667,0.14583333333333334,0.2222222222222222,0.6946271929824561,0.4055096653610736,46,1
0.77,0.55,0.22916666666666666,0.3235294117647059,0.7055921052631579,0.43660412352303685,46,2
0.76,0.5,0.20833333333333334,0.29411764705882354,0.6386376096491228,0.3912268882390679,46,3
0.745,0.38461538461538464,0.10416666666666667,0.16393442622950818,0.6379523026315789,0.3526679233969143,46,4
0.755,0.37037037037037035,0.23809523809523808,0.2898550724637681,0.7185051235684148,0.3557117455036881,47,0
0.765,0.4,0.23809523809523808,0.29850746268656714,0.6411241711874623,0.34813346617861674,47,1
0.755,0.3870967741935484,0.2857142857142857,0.3287671232876712,0.6694544906570222,0.3114643227025285,47,2
0.8,0.5555555555555556,0.23809523809523808,0.3333333333333333,0.8041742013261001,0.5030681224849747,47,3
0.785,0.47058823529411764,0.19047619047619047,0.2711864406779661,0.7515822784810127,0.44932430361425557,47,4
0.835,0.6086956521739131,0.3684210526315789,0.45901639344262296,0.7720922677063028,0.5441223620195078,48,0
0.78,0.36363636363636365,0.21052631578947367,0.26666666666666666,0.6872969460688758,0.3428274154272766,48,1
0.825,0.6,0.23684210526315788,0.33962264150943394,0.7305880441845354,0.43496268366358387,48,2
0.81,0.5,0.18421052631578946,0.2692307692307692,0.7576348278102664,0.4127854284095621,48,3
0.805,0.5,0.2564102564102564,0.3389830508474576,0.7122949514253862,0.3737332115725099,48,4
0.81,0.3684210526315789,0.21212121212121213,0.2692307692307692,0.725458174559971,0.34773963573096045,49,0
0.79,0.23529411764705882,0.12121212121212122,0.16,0.6627653783342407,0.245776828653502,49,1
0.825,0.4444444444444444,0.24242424242424243,0.3137254901960784,0.7512248230811105,0.43284473441750604,49,2
0.84,0.5555555555555556,0.29411764705882354,0.38461538461538464,0.7684266477675407,0.46651079817879504,49,3
0.795,0.29411764705882354,0.14705882352941177,0.19607843137254902,0.6478561304039687,0.27313225358057075,49,4
0.74,0.5,0.2692307692307692,0.35,0.7373960498960499,0.5016632104069534,50,0
0.72,0.46153846153846156,0.33962264150943394,0.391304347826087,0.7536901553074059,0.47192483207486563,50,1
0.705,0.42105263157894735,0.3018867924528302,0.3516483516483517,0.6926581953536131,0.41112996858136985,50,2
0.68,0.35135135135135137,0.24528301886792453,0.28888888888888886,0.6373379540495443,0.3855518438787236,50,3
0.715,0.45652173913043476,0.39622641509433965,0.42424242424242425,0.7386086510075729,0.526688511314861,50,4
0.72,0.3333333333333333,0.2727272727272727,0.3,0.7667540792540792,0.3992284452099465,51,0
0.73,0.34375,0.25,0.2894736842105263,0.7282925407925408,0.3861322904054125,51,1
0.78,0.5142857142857142,0.4,0.45,0.7487455197132616,0.43864313019349144,51,2
0.765,0.4666666666666667,0.3111111111111111,0.37333333333333335,0.7604301075268818,0.4377174813335526,51,3
0.765,0.46875,0.3333333333333333,0.38961038961038963,0.7313978494623656,0.5153832489622904,51,4
0.745,0.43902439024390244,0.391304347826087,0.41379310344827586,0.747741389045737,0.43440852541130526,52,0
0.78,0.5294117647058824,0.391304347826087,0.45,0.7544466403162056,0.44636803719923107,52,1
0.77,0.5,0.34782608695652173,0.41025641025641024,0.7762563523433089,0.546267616166614,52,2
0.78,0.5238095238095238,0.4782608695652174,0.5,0.7792913608130999,0.5272300820731798,52,3
0.705,0.30303030303030304,0.21739130434782608,0.25316455696202533,0.6608554488989271,0.3883039649937525,52,4
0.71,0.5888888888888889,0.7162162162162162,0.6463414634146342,0.7800300300300301,0.6531031515650776,53,0
0.665,0.5476190476190477,0.6133333333333333,0.5786163522012578,0.77088,0.6577064928770986,53,1
0.665,0.5425531914893617,0.68,0.6035502958579881,0.7327466666666668,0.6216890506040987,53,2
0.705,0.5930232558139535,0.68,0.6335403726708074,0.8075733333333334,0.7234587527845278,53,3
0.73,0.6235294117647059,0.7066666666666667,0.6625,0.79184,0.7068287394691969,53,4
0.76,0.3783783783783784,0.358974358974359,0.3684210526315789,0.7925625099538144,0.3992531536858208,54,0
0.825,0.5675675675675675,0.525,0.5454545454545454,0.824140625,0.5771981113209179,54,1
0.815,0.5348837209302325,0.575,0.5542168674698795,0.8065625000000001,0.5045813505007782,54,2
0.78,0.4411764705882353,0.375,0.40540540540540543,0.8014062499999999,0.43573359294069297,54,3
0.855,0.6341463414634146,0.65,0.6419753086419753,0.8909375,0.6083919729511976,54,4
0.79,0.7142857142857143,0.6521739130434783,0.6818181818181818,0.8497621418298484,0.7574831728997158,55,0
0.715,0.6111111111111112,0.4782608695652174,0.5365853658536586,0.7447726518420179,0.6670579220900678,55,1
